zip,total_education_count,hs_diploma,some_college,associates,bachelors,advanced_degree
66213,18994,1814,3174,1294,7762,4534
66214,7868,1517,2085,681,2012,1220
66215,17851,2885,4168,1366,5313,3147
66216,16712,3183,3430,1504,5244,2528
66217,3949,870,558,316,1231,776
66218,4555,655,988,625,1554,670
66219,7607,843,1598,430,3057,1470
66220,4609,375,611,289,1892,1416
66221,9565,610,1195,590,4359,2622
66223,14407,1165,2251,1031,5950,3763
66224,7221,389,965,376,2951,2489
66226,7469,741,1615,694,2608,1650
66227,3294,518,783,222,1026,629
66401,1180,485,196,102,206,134
66402,2028,706,543,150,368,184
66403,544,264,118,26,50,30
66404,335,185,27,10,63,24
66406,446,234,99,39,26,4
66407,344,125,105,10,53,37
66408,359,173,73,6,56,22
66409,2255,830,560,127,433,231
66411,862,401,209,36,70,42
66412,140,61,36,7,8,6
66413,1199,558,285,77,142,41
66414,1699,664,474,126,255,65
66415,642,230,161,56,118,22
66416,333,169,62,17,46,16
66417,154,55,41,24,24,0
66418,415,155,103,75,61,5
66419,245,57,127,15,25,3
66422,214,101,84,11,11,0
66423,644,254,156,41,127,31
66424,442,126,147,39,59,19
66425,299,150,72,38,15,7
66427,910,409,255,62,99,18
66428,292,142,37,28,60,6
66429,347,215,13,0,50,36
66431,464,198,104,47,61,22
66432,278,183,49,15,17,7
66434,3413,1351,774,225,453,351
66436,4039,1523,982,408,533,282
66438,206,114,80,7,0,5
66439,1817,862,416,110,132,114
66440,1370,532,369,139,174,112
66441,16014,4963,4664,1623,2019,1097
66442,5480,1347,2473,599,721,236
66449,476,219,62,23,63,59
66451,1226,366,335,86,227,112
66501,214,84,53,28,17,3
66502,22900,3871,5498,1552,5852,4976
66503,9769,1378,1635,780,2851,2764
66506,20,0,18,0,0,2
66507,690,226,220,49,131,58
66508,2985,1218,681,261,431,196
66509,1726,756,525,130,164,81
66510,501,193,123,22,54,36
66512,2262,1206,502,157,161,95
66514,924,402,280,55,84,51
66515,315,173,35,29,44,2
66516,238,118,55,22,21,1
66517,1065,232,445,71,142,51
66518,93,41,15,7,18,6
66520,399,139,98,37,74,41
66521,1244,560,263,94,169,57
66522,35,16,7,0,3,0
66523,2572,956,568,130,393,223
66524,2016,904,375,155,229,238
66526,550,224,126,98,80,8
66527,164,52,34,21,38,7
66528,717,358,109,29,58,41
66531,869,264,217,98,186,68
66532,374,120,82,53,58,27
66533,1108,408,203,100,211,94
66534,2687,1014,517,159,519,203
66535,1890,630,377,200,428,165
66536,2186,941,578,167,219,138
66537,883,361,250,49,94,49
66538,1969,993,339,129,254,95
66539,1916,589,411,249,404,169
66540,329,174,72,16,38,12
66541,211,130,41,8,14,2
66542,2589,917,537,197,659,206
66543,739,304,241,20,77,48
66544,231,101,38,16,53,5
66546,999,283,227,57,263,125
66547,4882,1134,1355,376,1227,597
66548,651,305,182,67,34,31
66549,1189,323,229,187,295,94
66550,371,170,138,9,24,13
66552,343,184,74,6,36,12
66554,481,166,84,51,130,40
66603,969,309,78,88,85,61
66604,14534,4154,3355,872,3316,1678
66605,12125,4135,3145,825,1527,797
66606,8046,2554,1907,614,1342,942
66607,6546,2687,1326,157,295,153
66608,3925,1720,942,165,239,73
66609,5689,2096,1363,488,687,549
66610,6624,1131,1285,437,2247,1353
66611,6585,1421,1632,498,1542,1046
66612,1819,747,268,192,158,79
66614,21426,5240,5333,1387,5050,3297
66615,2289,644,657,140,525,271
66616,4036,1948,851,177,193,115
66617,6270,2449,1511,513,1207,283
66618,6288,2033,1673,547,1305,467
66619,1476,447,492,59,343,86
66621,1,0,0,0,1,0
66622,163,45,56,0,12,0
66701,7867,2403,1901,822,1022,696
66710,530,220,109,65,38,22
66711,454,188,101,50,26,12
66712,1248,461,248,60,154,141
66713,3686,1236,920,412,378,212
66714,139,55,46,13,0,2
66716,478,229,110,45,48,16
66717,382,131,124,23,27,9
66720,7539,2521,1886,951,1045,460
66724,800,356,188,59,111,45
66725,4075,1571,953,379,412,269
66728,0,0,0,0,0,0
66732,209,77,61,24,7,11
